MeasureID,ImplementingAgency,AnnouncedYear,StateActTitle,CountryImposing_cleaned,D_IP_bert_3,D_OTHER_INTENTION_bert_3,D_NOT_ENOUGH_INFO_bert_3,MeasureAffectedProducts,MAST_chapterName,MeasureType,firm_specific,ImplementationLevel,same_year_published
61049,KfW Ipex-Bank,2015,"Germany: EXIM financing for SMS Siemag Aktiengesellschaft, Düsseldorf in June 2015",Germany,1,0,0,"846210,846221,846229,846231,846239,846241,846249,846291,846299",Export-related measures,Trade finance,Firm specific,NFI,
61050,KfW Ipex-Bank,2015,"Germany: EXIM financing for Krones AG, Neutraubling in May 2015",Germany,1,0,0,843840,Export-related measures,Trade finance,Firm specific,NFI,
61051,KfW Ipex-Bank,2015,"Germany: EXIM financing for ANDRITZ Küsters GmbH, Krefeld in May 2015",Germany,1,0,0,844520,Export-related measures,Trade finance,Firm specific,NFI,
61052,KfW Ipex-Bank,2015,Germany: EXIM financing for SMS Meer GmbH in April 2015,Germany,1,0,0,"846210,846221,846229,846231,846239,846241,846249,846291,846299",Export-related measures,Trade finance,Firm specific,NFI,
61053,KfW Ipex-Bank,2015,"Germany: EXIM financing for SMS Siemag AG, Düsseldorf in April 2015",Germany,1,0,0,"846210,846221,846229,846231,846239,846241,846249,846291,846299",Export-related measures,Trade finance,Firm specific,NFI,
61054,KfW Ipex-Bank,2015,"Germany: EXIM financing for SMS Siemag AG, Düsseldorf in February 2015",Germany,1,0,0,"846210,846221,846229,846231,846239,846241,846249,846291,846299",Export-related measures,Trade finance,Firm specific,NFI,
61055,KfW Ipex-Bank,2015,"Germany: EXIM financing for Engineering Dobersek GmbH, Mönchengladbach in February 2015",Germany,1,0,0,841780,Export-related measures,Trade finance,Firm specific,NFI,
61056,KfW Ipex-Bank,2015,Germany: EXIM financing for Brückner Maschinenbau GmH & Co. KG / Kampf Schneid- and Wickeltechnik GmbH & Co. KG in February 2015,Germany,1,0,0,"847710,847720,847730,847740,847751,847759,847780,847790",Export-related measures,Trade finance,Firm specific,NFI,
61057,KfW Ipex-Bank,2015,"Germany: EXIM financing for ThyssenKrupp Industrial Solutions AG, Essen in January 2015",Germany,1,0,0,"847710,847720,847730,847740,847751,847759,847780,847790",Export-related measures,Trade finance,Firm specific,NFI,
61058,KfW Ipex-Bank,2016,"Germany: EXIM financing for Thyssen Schachtbau GmbH, Mülheim in December 2016",Germany,1,0,0,"853510,853521,853529,853530,853540,853590",Export-related measures,Trade finance,Firm specific,NFI,
